         	1		2		3		4		5		6		7		8		9		10		
Query 1:	 300	 830	 496	 335	1170	 857	 224	 163	 446	 569	
Query 2:  	 838	 320	 266	 497	 742	 162	 223	 279	 873	 397	
Query 3:  	  77	 139	  81	 193	1204	 134	1135	1138	  18	1326	
Query 4:  	1198	1202	 135	  77	 705	1151	1200	1360	 493	  75	
Query 5:  	1024	 300	  46	 187	1176	1091	   5	 943	 864	1092	
Query 6:  	1136	  56	  77	  75	 156	 170	 668	 705	 742	 827	
Query 7:  	 705	1151	1360	  75	 170	1246	 604	 668	1216	 845	
Query 8:  	1139	1232	  77	 156	1138	1231	  75	 170	 668	 705	
Query 9:  	1299	1139	1228	1279	  76	 758	 146	 438	1230	1111	
Query 10:  	1002	 705	1151	1246	1217	 967	1096	 668	1300	  75	
Query 11: 	1123	  77	 909	  75	 156	 170	 668	 705	 742	 827	
Query 12: 	 857	1241	1081	1087	1242	  12	 119	1141	1078	1021	
Query 13: 	 909	 840	 827	  75	  77	 156	 170	 668	 705	 742	
Query 14: 	  75	 170	 668	 705	 742	1151	1246	1266	  77	1307	
Query 15: 	1283	1266	1141	 726	 127	 725	1242	1241	1344	1244	
Query 16: 	1003	1102	1107	 156	 909	1360	 903	1151	  77	 668	
Query 17: 	1121	 999	1073	1196	 446	 325	1051	  76	1181	 517	
Query 18: 	 967	1266	 865	 827	1129	1073	1284	1246	 909	1360	
Query 19: 	1246	  75	 170	 668	 742	1151	1266	 705	1129	 909	
Query 20: 	 718	 705	1151	1138	  75	 170	 668	1246	1360	 604	
Query 21: 	 170	 156	1360	  75	 546	 319	1077	  77	 668	 705	
Query 22: 	 705	1151	  75	 170	 668	1246	1138	 845	1360	 604	
Query 23: 	  81	  77	 150	  64	 827	 156	 164	1349	 909	 170	
Query 24: 	 894	 909	1077	 604	 946	  75	  77	 156	 170	 668	
Query 25: 	1144	1275	  81	  77	1138	 742	 164	 165	 636	1274	
Query 26: 	1220	1275	1276	1279	1144	 200	1142	  65	1111	 194	
Query 27: 	  81	  77	 827	 502	1344	 156	 170	 909	1129	 604	
Query 28: 	1266	1151	 403	1344	 502	  75	  77	 156	 170	 668	
Query 29: 	1336	  81	 592	  77	1344	 441	 864	1151	1129	 502	
Query 30: 	1393	1062	1396	1392	1063	 219	 327	1391	1341	 969	
Query 31: 	 108	 365	1372	1149	 297	 988	 280	 732	 999	1394	
Query 32: 	 845	  77	 909	 705	 668	 827	1360	  75	 170	 742	
Query 33: 	1340	  73	1312	 276	 943	 224	1021	1388	1386	 125	
Query 34: 	1340	  77	1151	 170	  75	 668	 742	1246	1266	 705	
Query 35: 	 841	1266	  75	  77	 156	 170	 668	 705	 742	 827	
Query 36: 	1141	1244	 845	1241	1343	1266	 909	  12	1100	1250	
Query 37: 	  22	1346	  27	  17	  34	  29	  26	  18	  19	  35	
Query 38: 	  18	  34	  20	  22	  26	  30	1209	  17	  32	1142	
Query 39: 	  34	  18	  20	  26	  22	  30	  17	  32	1209	1347	
Query 40: 	 909	1252	  77	 865	  20	 156	 170	 827	1129	1360	
Query 41: 	  77	  18	  22	 668	 705	 170	  75	 742	1151	1246	
Query 42: 	  77	  27	 170	1138	  75	 668	 705	 742	1151	1246	
Query 43: 	1348	  29	1151	1138	  22	 170	  27	 705	1144	 198	
Query 44: 	  81	  77	1349	1138	1302	 134	1299	1144	 742	1344	
Query 45: 	  81	  77	  45	1138	1344	 134	1349	1302	1299	 742	
Query 46: 	1001	1176	 481	 358	 351	1092	 657	 407	 663	 779	
Query 47: 	1350	  75	  77	 170	 668	 705	 742	1129	1151	1246	
Query 48: 	1277	1116	  51	 152	1210	1208	1227	 508	 663	  61	
Query 49: 	1209	 657	1277	 152	1350	 197	 142	1279	1140	1113	
Query 50: 	  77	  81	  75	 170	 668	 705	 742	1151	1246	1266	
Query 51: 	1351	  53	1222	1221	 198	  77	1151	 156	 827	 406	
Query 52: 	  53	 198	  60	 705	1151	1138	 668	 502	  75	 170	
Query 53: 	  53	1351	1222	 198	  77	 156	 827	 909	  54	 165	
Query 54: 	1352	  59	 400	  77	  57	 164	 399	 827	  56	  75	
Query 55: 	1111	1352	1209	1208	1321	  60	1091	 144	 139	1204	
Query 56: 	  81	  77	 502	 156	1266	  75	 170	 668	 705	 742	
Query 57: 	 110	 805	1201	  31	 806	 893	 905	1252	 111	 133	
Query 58: 	  72	  86	  85	1246	  75	1129	  77	 705	 827	 156	
Query 59: 	 909	1246	1129	  75	 170	 668	 705	 742	1151	1266	
Query 60: 	 604	 705	1151	1246	 668	  75	 170	1360	 845	1129	
Query 61: 	 604	  73	 903	  75	  77	 156	 170	 668	 705	 742	
Query 62: 	 100	  99	  63	  64	 125	  98	 699	  73	 419	 294	
Query 63: 	1191	 110	1184	 116	 905	 254	 112	 166	1186	1201	
Query 64: 	 110	 905	 112	 111	 115	 109	 884	 288	  82	 837	
Query 65: 	 439	 843	 119	 701	 398	1393	 780	1374	 569	 798	
Query 66: 	1344	 742	 170	 827	  75	  77	 668	 705	1129	1151	
Query 67: 	  76	 360	 221	 909	  75	1077	 128	 450	  77	 156	
Query 68: 	 909	 705	  75	 843	  77	 156	 170	 668	 742	1129	
Query 69: 	  82	1144	1273	 164	1138	  77	1113	 156	 165	  75	
Query 70: 	1151	 889	 705	 668	 441	 734	1360	  75	 170	1246	
Query 71: 	1151	1360	 705	 668	 441	 845	 889	  75	 170	1246	
Query 72: 	 837	1077	 655	 909	 502	 156	 170	 827	1129	1360	
Query 73: 	 827	1079	 256	 668	 909	 441	  75	  77	 156	 170	
Query 74: 	1079	 909	1151	1360	 668	 450	  75	  77	 170	 705	
Query 75: 	 668	1151	  77	1079	 909	 450	 705	 170	1129	  75	
Query 76: 	 909	  75	 334	 502	 170	 668	 705	 742	1151	1246	
Query 77: 	1266	  77	1360	 156	 909	  75	 170	 668	 742	1129	
Query 78: 	  77	1266	 156	1360	 909	1344	  75	 170	 668	 742	
Query 79: 	1151	 705	 967	  75	1360	 238	  77	 156	 170	 668	
Query 80: 	1296	1282	 441	 556	 909	 156	1344	 827	1129	 170	
Query 81: 	 572	 771	 864	1177	 175	 326	1295	1189	1145	1188	
Query 82: 	 648	 876	 827	  75	  77	 156	 170	 705	 742	 909	
Query 83: 	 882	 793	  77	 909	 156	1129	 699	  75	 170	 705	
Query 84: 	 288	 827	 307	 357	 872	 701	 802	 176	 159	 680	
Query 85: 	1336	 642	1289	 435	 475	 592	 594	  94	1082	  48	
Query 86: 	 893	 470	1255	 419	1076	 730	1259	 657	 941	 775	
Query 87: 	 943	 944	 532	 894	 930	 946	 424	 765	 555	 758	
Query 88: 	 946	 944	  77	 894	  75	 170	 668	 705	 742	1151	
Query 89: 	 502	 592	 541	1151	  81	1266	 994	1344	 909	 170	
Query 90: 	 552	 510	1342	 912	 388	 542	 843	 501	 567	 344	
Query 91: 	 899	 982	 975	 534	 973	 642	 972	1261	 976	 437	
Query 92: 	1393	1396	1062	 219	1392	1341	1063	 327	 969	 347	
Query 93: 	1051	 995	 378	 949	1052	1266	 127	 909	 256	 325	
Query 94: 	1132	 277	 351	1184	1188	1192	1189	 512	 273	 724	
Query 95: 	1201	 473	1194	 474	1087	1309	 129	 351	   4	 388	
Query 96: 	1241	1141	1242	1243	1021	 726	 517	1127	1283	 438	
Query 97: 	 268	  86	 773	 273	1317	 869	  72	 572	 969	 772	
Query 98: 	  81	  77	1138	1225	 193	1144	 198	1349	1326	 156	
Query 99: 	 705	1151	1096	 502	 668	 604	1217	  75	 170	1246	
Query 100: 	1142	1002	1271	1143	1216	1300	1257	1269	1097	1251	
Query 101:	 156	 909	 170	 827	1129	  75	  77	 705	 742	1151	
Query 102:	 127	 726	 705	1343	1151	 725	1266	  75	1246	 170	
Query 103:	1266	1141	 127	1241	 726	 170	  75	 668	 705	 742	
Query 104:	1003	1107	1106	1009	 228	 722	 802	 444	1262	 197	
Query 105:	1102	1105	 438	1003	1006	1106	 796	1107	 432	 761	
Query 106:	1004	1326	  77	 193	 156	1353	 827	  81	 401	 164	
Query 107:	  77	 401	1326	  64	1004	 198	 139	 134	 132	  81	
Query 108:	  75	 705	 170	 742	1151	1246	1266	 668	1129	 909	
Query 109:	1272	1269	 909	  77	 156	1129	  75	 170	 668	 705	
Query 110:	  81	  77	 903	1138	1360	1144	 450	  75	 156	 170	
Query 111:	1111	  68	 329	1113	1139	 230	1038	1321	1279	1210	
Query 112:	 705	1151	  75	 932	1272	 170	1246	 224	1360	 668	
Query 113:	 847	 592	1360	  77	 792	1365	1151	  75	 827	1246	
Query 114:	  81	  77	 156	1360	1138	 909	  75	 170	 668	 705	
Query 115:	 827	  75	 705	 909	 668	 441	 865	  77	 170	 742	
Query 116:	 348	 542	 319	 550	1320	 508	1202	 912	 704	1377	
Query 117:	 542	 934	1377	 247	 801	 232	 319	1026	 343	 749	
Query 118:	 657	 455	1320	 927	 926	 923	 257	1369	 637	1334	
Query 119:	 347	1176	1090	 391	 696	1327	 369	 657	 362	 563	
Query 120:	 325	1266	 705	1151	 604	 127	  75	 170	1246	1129	
Query 121:	 325	 382	1141	 517	 378	 773	 949	1122	 446	1120	
Query 122:	 326	 473	 385	 389	 450	 919	1077	 845	  75	  77	
Query 123:	1151	 668	 705	  75	 170	1246	 502	1360	 604	1138	
Query 124:	 849	 170	 705	1151	 198	  75	 668	1246	 742	 502	
Query 125:	 164	  81	  77	 194	 193	1353	 134	 150	1275	1138	
Query 126:	  81	  77	1138	 164	1349	 193	1360	1144	  75	 170	
Query 127:	 200	  81	 198	 199	 148	1221	 401	 165	1273	 636	
Query 128:	1144	  77	1276	1273	 117	 156	 164	 827	 165	1275	
Query 129:	 329	 156	  77	 405	  75	 170	 668	 705	 742	 827	
