         	1		2		3		4		5		6		7		8		9		10		
Query 1:	 930	1087	 166	 949	1263	1306	 868	 351	 563	1359	
Query 2:  	1342	1289	 351	1385	 886	 510	  48	 222	 269	 390	
Query 3:  	 926	 642	 173	1141	 377	 485	 572	1363	  74	  94	
Query 4:  	 446	 550	  42	1314	1321	 438	 657	 706	 758	 909	
Query 5:  	1038	 100	 314	 569	 637	 661	  48	 222	 226	 269	
Query 6:  	  60	  17	  20	  28	  29	  32	  39	  44	  62	  78	
Query 7:  	1367	 930	 626	 347	 642	 765	 497	 335	1334	1176	
Query 8:  	 484	 490	 500	1334	 239	 510	 572	1179	1208	1369	
Query 9:  	 552	 926	1219	  24	  46	 235	 241	 253	 508	 828	
Query 10:  	  46	 926	1396	1346	1142	  72	  85	 139	 258	 377	
Query 11: 	 619	1326	 926	1168	 135	 235	 296	 426	 677	 775	
Query 12: 	 128	 131	 185	 274	 305	 326	 359	 372	 374	 376	
Query 13: 	 222	 800	1103	1106	1328	 167	 419	 587	1031	 844	
Query 14: 	 575	 899	 844	  55	 398	 497	 566	 642	 765	 914	
Query 15: 	 642	 190	1208	 707	 542	 321	 592	 583	 512	 738	
Query 16: 	 347	 657	 696	 338	 300	 926	 822	 264	1208	1176	
Query 17: 	 119	 519	 426	 520	 677	 920	 511	 296	 337	1186	
Query 18: 	 642	 587	1002	 438	 506	  55	 233	1261	 616	 123	
Query 19: 	 297	 312	 583	 404	 930	1031	1177	1176	1102	 351	
Query 20: 	 307	 357	1359	  14	 683	 724	 314	 304	1038	1044	
Query 21: 	 587	 612	 986	  88	 780	 120	 843	 510	 474	 470	
Query 22: 	 394	1196	1288	1363	1036	 307	 312	 357	 211	1160	
Query 23: 	1341	1391	 510	 257	 528	1393	 426	 484	 187	1092	
Query 24: 	1334	 123	 166	 373	 119	 257	 983	 446	 844	1194	
Query 25: 	1319	 194	1024	1225	1275	 146	 193	1231	1274	1286	
Query 26: 	1275	 432	 165	1274	1277	   1	 273	 274	 323	 392	
Query 27: 	 512	1021	 542	1321	1073	1303	 834	 486	 119	 657	
Query 28: 	 347	 517	 797	1208	1303	  89	 532	 703	 563	 783	
